number;name;code
1;"Дума Города Томска";"908"
2;"Счетная палата Города Томска";"909"
3;"Администрация Города Томска";"901"
4;"Администрация Кировского района Города Томска";"904"
5;"Администрация Ленинского района Города Томска";"905"
6;"Администрация Октябрьского района Города Томска";"906"
7;"Администрация Советского района Города Томска";"907"
8;"Департамент образования администрации Города Томска";"920"
9;"Управление культуры администрации Города Томска";"911"
10;"Управление социальной политики администрации Города Томска";"921"
11;"Управление физической культуры и спорта администрации Города Томска";"922"
12;"Департамент городского хозяйства администрации Города Томска";"903"
13;"Департамент капитального строительства администрации Города Томска";"914"
14;"Департамент управления муниципальной собственностью администрации Города Томска";"915"
15;"Департамент архитектуры и градостроительства администрации Города Томска";"902"
16;"Департамент дорожной деятельности и благоустройства администрации Города Томска";"919"
17;"Департамент финансов администрации Города Томска";"910"
